,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
261,1011LG,1011LG,10,100,90,100,90,3x25,2647,0,0,"1,3"
263,1011LH,1011LH,21,100,100,100,95,3x25,3159,0,0,"1,2"
264,1011LJ,1011LJ,16,100,100,100,100,3x25,2844,0,0,"1,1"
266,1011LK,1011LL,30,100,100,100,93,3x25,3335,10,0,"1,6"
268,1011LM,1011LM,121,100,"99,17",100,93,3x25,3220,"4,13",0,"1,1"
270,1011LN,1011LP,17,100,"94,12",100,88,3x25,2661,"5,88",0,"1,1"
272,1011LR,1011LR,14,100,100,100,86,3x25,2620,0,0,"1,1"
274,1011LS,1011LS,13,100,100,100,100,3x25,2829,0,0,1
276,1011LT,1011LT,14,100,100,100,93,3x25,1612,"7,14",0,"1,1"
278,1011LV,1011LV,16,100,100,100,94,3x25,1988,0,0,"1,3"
280,1011LW,1011LW,32,100,100,100,100,3x25,1957,"3,13",0,"1,1"
282,1011LX,1011LZ,103,100,"96,12",100,90,3x25,4853,"13,59",0,"1,8"
284,1011MA,1011MB,42,100,"97,62",100,95,3x25,2655,"4,76",0,"1,1"
286,1011MC,1011MG,44,100,100,100,98,3x25,3774,"6,82",0,"1,4"
288,1011MH,1011MH,48,100,"97,92",100,96,3x25,3916,"4,17",0,"1,6"
289,1011MJ,1011MJ,31,100,100,100,90,3x25,13442,"16,13",0,"1,3"
290,1011MK,1011MK,55,100,100,100,98,3x25,2925,"1,82",0,"1,2"
291,1011ML,1011ML,44,100,100,100,100,3x25,2640,0,0,"1,1"
292,1011MN,1011MN,64,100,100,100,98,3x25,2911,"1,56",0,"1,2"
293,1011MP,1011MP,22,100,100,100,100,3x25,2712,0,0,"1,4"
294,1011MR,1011MR,18,100,100,100,100,3x25,3128,0,0,"1,4"
295,1011MT,1011MT,18,100,100,100,100,3x25,3267,"5,56",0,"1,4"
296,1011MV,1011MV,27,100,100,100,100,3x25,2443,0,0,"1,3"
297,1011MX,1011MX,38,100,100,100,95,3x25,2433,"2,63",0,"1,1"
298,1011MZ,1011MZ,32,100,100,100,94,3x25,4129,"3,13",0,"1,2"
300,1011NA,1011NA,53,100,"83,02",100,94,3x25,4946,"9,43",0,"1,2"
302,1011NB,1011NB,20,100,100,100,80,3x25,1763,15,0,"1,3"
304,1011NC,1011NC,103,100,"85,44",100,96,3x25,2286,"1,94",0,"3,6"
306,1011ND,1011ND,31,100,100,100,87,3x25,5852,"9,68",0,"1,4"
308,1011NE,1011NK,37,100,100,100,78,3x25,14357,"24,32",0,"1,6"
310,1011NM,1011NS,74,100,"95,95",100,88,3x25,5281,"10,81",0,"1,4"
312,1011NV,1011NV,42,100,"95,24",100,95,3x25,4569,"26,19",0,"1,4"
314,1011NX,1011PB,42,100,100,100,98,3x25,3018,"9,52",0,"1,2"
316,1011PC,1011PG,176,100,"93,75",100,85,3x25,5857,"17,61",0,"1,5"
318,1011PL,1011PL,48,100,100,100,100,3x25,2111,"4,17",0,"1,1"
320,1011PM,1011PM,27,100,"88,89",100,93,3x25,3608,"7,41",0,"1,2"
322,1011PN,1011PT,30,100,70,100,70,3x25,6379,"16,67",0,"1,3"
324,1011PV,1011PV,11,100,"90,91",100,100,3x25,2791,"9,09",0,"1,1"
326,1011PW,1011PW,16,100,"93,75",100,100,3x25,3304,"12,5",0,"1,5"
327,1011PX,1011PX,14,100,"71,43",100,100,3x25,5009,0,0,"1,7"
329,1011PZ,1011QQ,75,100,"98,67",100,81,3x25,35389,72,0,"2,2"
330,1011RA,1011RA,15,100,"93,33",100,100,3x25,2116,0,0,1
331,1011RB,1011RC,18,100,100,100,94,3x25,4326,"22,22",0,"1,4"
333,1011RD,1011RD,14,100,"71,43",100,43,3x25,9992,"57,14",0,
334,1011RE,1011RE,17,100,"94,12",100,100,3x25,2223,0,0,"1,2"
